obsi,pulse_id,0
58435,1651,58435.30432125183
58435,5927,58435.30480760856
58435,5927-1,58435.30480807013
58435,5197,58435.30577078498
58435,5596,58435.30622758738
58435,60,58435.30627258096
58435,5934,58435.306342374744
58435,5934,58435.306342572745
58435,5040,58435.30634295271
58435,4312,58435.30637196617
58435,5597,58435.30648886805
58435,5508,58435.30654906022
58435,5764,58435.30659660054
58435,5764,58435.30659679025
58435,4375,58435.306749322954
58435,4959,58435.306921029405
58435,3504,58435.307046154114
58435,3504-1,58435.30704646462
58435,3504-1,58435.30704658583
58435,5600,58435.307115108706
58435,3849,58435.30727006818
58435,5509,58435.307513521286
58435,4876,58435.307637458915
58435,4876-1,58435.30763780731
58435,5198,58435.307727817926
58435,5198-1,58435.30772807349
58435,4380,58435.30778431522
58435,4383,58435.308479208456
58435,5200,58435.30850522994
58435,5699,58435.308592198584
58435,5118,58435.30973382303
58435,4515,58435.31011030167
58435,4764,58435.31040649283
58435,3651,58435.31085652541
58435,5846,58435.31133726431
58435,1045,58435.312136094566
58435,5948,58435.31213648335
58435,4884,58435.312230946794
58435,4829,58435.31248286995
58435,5126,58435.31270333605
58435,5131,58435.31311630857
58439,9870,58439.24272340686
58439,11210,58439.24273254018
58439,10676,58439.243013660955
58439,4243,58439.24312679246
58439,9740,58439.24337257644
58439,8563,58439.24367194446
58439,8191,58439.24373079369
58439,9480,58439.24376750727
58439,9877,58439.244572619915
58439,9877,58439.24457280384
58439,10169,58439.2445765034
58439,3300,58439.2447497367
58439,11218,58439.244857885766
58439,7698,58439.24486255038
58439,8961,58439.24486307647
58439,9482,58439.244965046506
58439,8193,58439.24531251271
58439,8836,58439.24548912588
58439,8840,58439.24600801766
58439,9096,58439.24605426196
58439,10436,58439.24663218603
58439,7341,58439.24675567981
58439,10308,58439.24681670283
58439,7827,58439.24697294837
58439,6628,58439.24700234396
58439,10173,58439.24799986781
58439,7005,58439.2480015101
58439,7705,58439.24864566162
58439,10310,58439.24901564956
58439,9751,58439.24907260998
58439,8971,58439.249072986255
58439,9894,58439.24913916342
58439,9369,58439.24929856377
58439,8576,58439.249640574024
